id,verdict,group,title,model,target,source,line,original,report,reason,proposed_action
BUG-001,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Mechanics.Translational.Examples.Damper,mass1.m,Mechanics/Translational/Components/Mass.mo,3,BUG-001-damper-mass1-m.md,false-positives/BUG-001.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass1 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-002,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Clocked.Examples.SimpleControlledDrive.Continuous,load.J,Mechanics/Rotational/Components/Inertia.mo,4,BUG-002-continuous-load-j.md,false-positives/BUG-002.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-003,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Mechanics.Translational.Examples.Damper,mass2.m,Mechanics/Translational/Components/Mass.mo,3,BUG-003-damper-mass2-m.md,false-positives/BUG-003.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-004,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Electrical.Analog.Examples.ParallelResonance,inductor1.L,Electrical/Analog/Basic/Inductor.mo,4,BUG-004-parallelresonance-inductor1-l.md,false-positives/BUG-004.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-005,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Electrical.Analog.Examples.ParallelResonance,inductor2.L,Electrical/Analog/Basic/Inductor.mo,4,BUG-005-parallelresonance-inductor2-l.md,false-positives/BUG-005.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-006,confirmed,trapezoid-frequency,Example waveform timing divides by zero frequency,Modelica.Electrical.Analog.Examples.InvertingAmp,f,Electrical/Analog/Examples/InvertingAmp.mo,7,BUG-006-invertingamp-f.md,confirmed/BUG-006.md,"The source uses f directly in trapezoid timing (rising=0.2/f, width=0.3/f, falling=0.2/f, period=1/f). f=0 is not handled and gives undefined parameter bindings. Rumoca reports non-finite evaluation after a clean baseline. OpenModelica baseline-executable overrides also report zero division; recompilation can instead hit a template/code-generation error, which is not counted as independent runtime confirmation.","At the example frequency declaration, specify and assert f>0 and guard the timing calculations so the assertion can diagnose invalid input. If f=0 should mean DC, provide an explicit DC branch; do not silently clamp frequency to epsilon."
BUG-007,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Mechanics.Translational.Examples.Damper,mass3.m,Mechanics/Translational/Components/Mass.mo,3,BUG-007-damper-mass3-m.md,false-positives/BUG-007.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass3 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-008,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Electrical.Analog.Examples.ParallelResonance,capacitor1.C,Electrical/Analog/Basic/Capacitor.mo,4,BUG-008-parallelresonance-capacitor1-c.md,false-positives/BUG-008.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-009,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Electrical.Analog.Examples.ParallelResonance,capacitor2.C,Electrical/Analog/Basic/Capacitor.mo,4,BUG-009-parallelresonance-capacitor2-c.md,false-positives/BUG-009.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ParallelC2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-010,confirmed,inactive-flux-normalization,Inactive material data still enter an unguarded division,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.material.B_myMax,Magnetic/FluxTubes/Material/SoftMagnetic/BaseData.mo,9,BUG-010-sensors-genericfluxtube-material-b-mymax.md,confirmed/BUG-010.md,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-011,confirmed,flux-length,Zero flux-tube length divides by zero,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.l,Magnetic/FluxTubes/Shapes/FixedShape/GenericFluxTube.mo,8,BUG-011-sensors-genericfluxtube-l.md,confirmed/BUG-011.md,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-012,false-positives,translation-sensitive-zero,Runtime override does not prove a missing library bound,Modelica.Electrical.Analog.Examples.ChuaCircuit,L.L,Electrical/Analog/Basic/Inductor.mo,4,BUG-012-chuacircuit-l-l.md,false-positives/BUG-012.md,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-013,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Electrical.Analog.Examples.ChuaCircuit,C1.C,Electrical/Analog/Basic/Capacitor.mo,4,BUG-013-chuacircuit-c1-c.md,false-positives/BUG-013.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ChuaC1 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-014,false-positives,initialization-conflict,Zero-storage example has incompatible fixed initial conditions,Modelica.Electrical.Analog.Examples.ChuaCircuit,C2.C,Electrical/Analog/Basic/Capacitor.mo,4,BUG-014-chuacircuit-c2-c.md,false-positives/BUG-014.md,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ChuaC2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
