issue	category	rationale
85	ENHANCEMENT	Media redesign is an architecture proposal; numerical sanitizers cannot choose the desired public interface.
89	ENHANCEMENT	Library organization discussion has no numerical failure criterion.
106	DOCUMENTATION	Tutorial update requires documentation review and executable examples where appropriate.
241	ENHANCEMENT	Unified power-system connectors require an agreed interface and conversion/compatibility tests.
283	DOCUMENTATION	Naming conventions need source/style lint, not numerical execution.
324	REFERENCE	Missing pump/accumulator closed-circuit examples require test construction; no failing witness is supplied by the request itself.
325	REFERENCE	Steam-turbine example coverage is a requested test/model addition.
326	REFERENCE	Steam-generator example coverage is a requested test/model addition.
327	REFERENCE	Heat-exchanger example coverage is a requested test/model addition.
328	REFERENCE	inner/outer connection examples should exercise elaboration and binding rules, not just trace finiteness.
342	ENHANCEMENT	Integrating Dissipation pressure-loss components requires interface/regression work, not defect detection alone.
344	ENHANCEMENT	Additional pipe correlations require validated physical regimes and reference data.
359	ENHANCEMENT	Moving conditional heat-port classes is library/API organization work.
464	ENHANCEMENT	Adding PlanarMultiBody is a library-scope decision and implementation request.
506	ENHANCEMENT	A missing differential component is a feature request; no existing-model sanitizer can implement it.
609	DOCUMENTATION	Model renaming requires naming/conversion checks.
671	DOCUMENTATION	Connector icon sizes need graphical/style validation.
740	ENHANCEMENT	A simple turbine model is an added modeling capability.
742	ENHANCEMENT	A unified regularization framework needs API design and smoothness/accuracy tests once specified.
814	ENHANCEMENT	Duplicate electric-element definitions are maintainability/refactoring work unless behavior differences are demonstrated.
849	ENHANCEMENT	Vendor-neutral annotations require specification/tool interoperability validation.
966	DOCUMENTATION	Density/viscosity naming conventions need API naming review.
967	ENHANCEMENT	PressureDifference is a requested medium type addition, not a demonstrated numerical failure.
1118	ENHANCEMENT	Standardizing tool command annotations requires cross-tool metadata support.
1157	ENHANCEMENT	XML interchange formats require schema/round-trip compatibility tests.
1339	REFERENCE	Changes to shipped resources need versioning/provenance and downstream reference tests.
1400	ENHANCEMENT	Additional mathematical means require specified definitions/domains and implementation tests.
1539	ENHANCEMENT	Unused model cleanup needs dependency/reachability review.
1860	FRONTEND	Use of class restrictions is a language/style compatibility question for the frontend.
1873	ENHANCEMENT	Requested mechanical components extend library coverage.
1904	ENHANCEMENT	Texture support belongs to visualization/services capabilities.
1906	DOCUMENTATION	Hiding protected outer world objects concerns diagram/browser presentation.
1954	EXTERNAL	Directory support in loadResource requires resource resolver/API tests.
2018	EXTERNAL	A standardized PLC interface needs protocol/interface integration tests.
2058	ENHANCEMENT	An improved ideal transmission-line implementation needs agreed behavior and cross-version regression tests.
2083	REFERENCE	DLATROM lacks a test/example; add a memory truth-table and timing fixture.
2089	DOCUMENTATION	Spice3 result-variable comments require documentation coverage checks.
2126	ENHANCEMENT	StringExpression is a new source-block feature.
2164	ENHANCEMENT	Replacing Blocks.Logical requires API/semantic migration decisions.
2239	ENHANCEMENT	Complex matrix inversion is a requested mathematical API capability with numerical conditioning contracts.
2259	DOCUMENTATION	Files.list purpose/API explanation is needed before defining a failure criterion.
2333	DOCUMENTATION	Release-note cleanup is editorial consistency work.
2346	DOCUMENTATION	Image transparency is graphical asset work.
2389	EXTERNAL	A portable FMU import block requires FMI lifecycle and platform integration capabilities.
2431	DOCUMENTATION	Mechanics class names need naming policy and conversion validation.
2455	DOCUMENTATION	Missing browser documentation strings require frontend/UI metadata checks.
2460	DOCUMENTATION	Shorter sensor names are an API naming/conversion proposal.
2481	DOCUMENTATION	Connector-label placement/color discrepancies need diagram/style validation.
2485	DOCUMENTATION	Plane parameter renaming requires API migration checks.
2519	DOCUMENTATION	HTML figure inclusion needs documentation rendering/link validation.
2534	ENHANCEMENT	Replacing PartialAbsoluteSensor is interface/refactoring work.
2554	ENHANCEMENT	Piston/pump enhancements need explicitly specified additional physical behavior.
2603	DOCUMENTATION	Generating documentation images requires a rendering/tooling workflow.
2609	DOCUMENTATION	Protected top-level connector purpose needs source/API documentation clarification.
2629	ENHANCEMENT	Adaptor package location is library organization work.
2633	DOCUMENTATION	OpAmpDetailed missing variable comments need documentation completeness checks.
2680	REFERENCE	FluidHeatFlow relative-sensor examples are missing; add known-signal test fixtures.
2681	REFERENCE	HeatTransfer sensor test coverage is missing; use known thermal-network fixtures.
2694	DOCUMENTATION	Spelling dictionary additions need text/style tooling.
2695	DOCUMENTATION	Image file organization is asset maintenance.
2749	DOCUMENTATION	Ellipsis typography belongs to documentation style checks.
2751	DOCUMENTATION	Nonbreaking spaces belong to documentation rendering/style checks.
2781	REFERENCE	mixtureViscosityChung needs a reference-data/function test; absent coverage is not an observed numerical defect.
2795	DOCUMENTATION	MOSFET documentation needs comparison to the implemented device equations and cited model.
2831	ENHANCEMENT	An Equal logical block is a missing API feature.
2836	ENHANCEMENT	PRNG replacement requires reproducibility and statistical-quality criteria; generic trace determinism is insufficient.
2907	DOCUMENTATION	UsersGuide convention rules need editorial clarification.
2913	CONTRACT	Berkeley Spice3 compatibility requires a versioned external behavioral corpus, not universal numerical safety rules.
2931	DOCUMENTATION	Code/variable styling guidelines need source/style tooling.
2935	ENHANCEMENT	Replaceable friction and geometric/Reynolds formulations extend FluidHeatFlow modeling flexibility.
2938	ENHANCEMENT	Flexible beam is a requested additional physical model.
2946	DOCUMENTATION	StateSelection guidance needs alignment with actual language/compiler behavior.
2990	DOCUMENTATION	Missing user guides require documentation coverage and authorship.
3060	DOCUMENTATION	Formatting checker is a source lint tool request.
3122	DOCUMENTATION	Markdown versus HTML is an authoring/rendering workflow decision.
3125	DOCUMENTATION	Connector appearance/naming harmonization requires graphical and API style checks.
3145	DOCUMENTATION	loadResource naming is API naming/conversion work.
3305	DOCUMENTATION	Analog-source names require naming convention review.
3359	ENHANCEMENT	FluxTubes improvements are a broad development request; evaluate concrete subchanges separately.
3362	DOCUMENTATION	Support-flange base-class names require API naming and migration checks.
3374	ENHANCEMENT	StateGraph2 replacement is an architecture/API migration decision with semantic regression obligations.
3387	FRONTEND	Replacing integer modes with enumerations improves source typing/API; use conversion and elaboration tests.
3425	ENHANCEMENT	Splitting Blocks into files is source organization work.
3430	DOCUMENTATION	Empty icon classes need icon/diagram metadata validation.
3460	DOCUMENTATION	Delay-block package placement is categorization/API organization.
3557	ENHANCEMENT	A wire-like one-sided spring is a new constitutive model requiring a unilateral-force contract.
3561	DOCUMENTATION	Syntax highlighting is documentation rendering work.
3581	DOCUMENTATION	SIunits package icon typography is graphical presentation.
3601	EXTERNAL	HDF5 multidimensional I/O is a format/API feature; requires shape-preserving I/O round-trip tests.
3611	ENHANCEMENT	Fluid-to-translational power conversion is a missing component capability.
3653	DOCUMENTATION	Leftover internal IF97 comments require editorial/source cleanup.
